#Partida_completa,Orgánica_completa,Funcional_Completa,Económica_completa,Org1_Seccion,Org1_Denominación,Org1_Completa,Org2_Servicio,Org2_Denominación,Org2_Completa,Org3_Centro,Org3_Denominación,Org3_Completa,Ec1_Capítulo,Ec1_Denominación,Ec1_Completa,Ec2_Artículo,Ec2_Denominación,Ec2_Completa,Ec3_Concepto,Ec3_Denominación,Ec3_Completa,Ec4_Subconcepto,Ec4_Denominación,Ec4_Completa,Func1_Grupo,Func1_Denominación,Func1_Completa,Func2_Función,Func2_Denominación,Func2_Completa,Func3_Subfunción,Func3_Denominación,Func3_Completa,Func4_Programa,Func4_Denominación,Func4_Completa,Func5_Subprograma,Func5_Denominación,Func5_Completa,Presupuesto
080203.3312.20900,080203,3312,20900,08,"EDUCACION, CULTURA, DEPORTE Y JUVENTUD","08 EDUCACION, CULTURA, DEPORTE Y JUVENTUD",0802,DIRECCIÓN GENERAL DE CULTURA,0802 DIRECCION GENERAL DE CULTURA,080203,BIBLIOTECA PÚBLICA,080203 BIBLIOTECA PUBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,2 GASTOS EN BIENES CORRIENTES Y SERVICIOS,20,ARRENDAMIENTOS Y CANONES,20 ARRENDAMIENTOS Y CANONES,209,CÁNONES,209 CANONES,20900,CÁNONES,20900 CANONES,3,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE,33,CULTURA,33 CULTURA,331,CULTURA,331 CULTURA,3312,"MUSEOS, ARCHIVOS Y BIBLIOTECAS","3312 MUSEOS, ARCHIVOS Y BIBLIOTECAS",,,,2000
080203.3312.21200,080203,3312,21200,08,"EDUCACION, CULTURA, DEPORTE Y JUVENTUD","08 EDUCACION, CULTURA, DEPORTE Y JUVENTUD",0802,DIRECCIÓN GENERAL DE CULTURA,0802 DIRECCION GENERAL DE CULTURA,080203,BIBLIOTECA PÚBLICA,080203 BIBLIOTECA PUBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,2 GASTOS EN BIENES CORRIENTES Y SERVICIOS,21,"REPARACIONES, MANTENIMIENTO Y CONSERVACION","21 REPARACIONES, MANTENIMIENTO Y CONSERVACION",212,EDIFICIOS Y OTRAS CONSTRUCCIONES,212 EDIFICIOS Y OTRAS CONSTRUCCIONES,21200,INMOVILIZADO PROPIO,21200 INMOVILIZADO PROPIO,3,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE,33,CULTURA,33 CULTURA,331,CULTURA,331 CULTURA,3312,"MUSEOS, ARCHIVOS Y BIBLIOTECAS","3312 MUSEOS, ARCHIVOS Y BIBLIOTECAS",,,,10000
080203.3312.21300,080203,3312,21300,08,"EDUCACION, CULTURA, DEPORTE Y JUVENTUD","08 EDUCACION, CULTURA, DEPORTE Y JUVENTUD",0802,DIRECCIÓN GENERAL DE CULTURA,0802 DIRECCION GENERAL DE CULTURA,080203,BIBLIOTECA PÚBLICA,080203 BIBLIOTECA PUBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,2 GASTOS EN BIENES CORRIENTES Y SERVICIOS,21,"REPARACIONES, MANTENIMIENTO Y CONSERVACION","21 REPARACIONES, MANTENIMIENTO Y CONSERVACION",213,"MAQUINARIA, INSTALACION Y UTILLAJE","213 MAQUINARIA, INSTALACION Y UTILLAJE",21300,INMOVILIZADO PROPIO,21300 INMOVILIZADO PROPIO,3,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE,33,CULTURA,33 CULTURA,331,CULTURA,331 CULTURA,3312,"MUSEOS, ARCHIVOS Y BIBLIOTECAS","3312 MUSEOS, ARCHIVOS Y BIBLIOTECAS",,,,14808
080203.3312.21500,080203,3312,21500,08,"EDUCACION, CULTURA, DEPORTE Y JUVENTUD","08 EDUCACION, CULTURA, DEPORTE Y JUVENTUD",0802,DIRECCIÓN GENERAL DE CULTURA,0802 DIRECCION GENERAL DE CULTURA,080203,BIBLIOTECA PÚBLICA,080203 BIBLIOTECA PUBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,2 GASTOS EN BIENES CORRIENTES Y SERVICIOS,21,"REPARACIONES, MANTENIMIENTO Y CONSERVACION","21 REPARACIONES, MANTENIMIENTO Y CONSERVACION",215,MOBILIARIO Y ENSERES,215 MOBILIARIO Y ENSERES,21500,INMOVILIZADO PROPIO,21500 INMOVILIZADO PROPIO,3,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE,33,CULTURA,33 CULTURA,331,CULTURA,331 CULTURA,3312,"MUSEOS, ARCHIVOS Y BIBLIOTECAS","3312 MUSEOS, ARCHIVOS Y BIBLIOTECAS",,,,7500
080203.3312.21600,080203,3312,21600,08,"EDUCACION, CULTURA, DEPORTE Y JUVENTUD","08 EDUCACION, CULTURA, DEPORTE Y JUVENTUD",0802,DIRECCIÓN GENERAL DE CULTURA,0802 DIRECCION GENERAL DE CULTURA,080203,BIBLIOTECA PÚBLICA,080203 BIBLIOTECA PUBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,2 GASTOS EN BIENES CORRIENTES Y SERVICIOS,21,"REPARACIONES, MANTENIMIENTO Y CONSERVACION","21 REPARACIONES, MANTENIMIENTO Y CONSERVACION",216,EQUIPOS PARA PROCESO DE INFORMACION,216 EQUIPOS PARA PROCESO DE INFORMACION,21600,INMOVILIZADO PROPIO,21600 INMOVILIZADO PROPIO,3,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE,33,CULTURA,33 CULTURA,331,CULTURA,331 CULTURA,3312,"MUSEOS, ARCHIVOS Y BIBLIOTECAS","3312 MUSEOS, ARCHIVOS Y BIBLIOTECAS",,,,25000
080203.3312.22000,080203,3312,22000,08,"EDUCACION, CULTURA, DEPORTE Y JUVENTUD","08 EDUCACION, CULTURA, DEPORTE Y JUVENTUD",0802,DIRECCIÓN GENERAL DE CULTURA,0802 DIRECCION GENERAL DE CULTURA,080203,BIBLIOTECA PÚBLICA,080203 BIBLIOTECA PUBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,2 GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIAL, SUMINISTROS Y OTROS","22 MATERIAL, SUMINISTROS Y OTROS",220,MATERIAL DE OFICINA,220 MATERIAL DE OFICINA,22000,ORDINARIO NO INVENTARIABLE,22000 ORDINARIO NO INVENTARIABLE,3,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE,33,CULTURA,33 CULTURA,331,CULTURA,331 CULTURA,3312,"MUSEOS, ARCHIVOS Y BIBLIOTECAS","3312 MUSEOS, ARCHIVOS Y BIBLIOTECAS",,,,4605
080203.3312.22001,080203,3312,22001,08,"EDUCACION, CULTURA, DEPORTE Y JUVENTUD","08 EDUCACION, CULTURA, DEPORTE Y JUVENTUD",0802,DIRECCIÓN GENERAL DE CULTURA,0802 DIRECCION GENERAL DE CULTURA,080203,BIBLIOTECA PÚBLICA,080203 BIBLIOTECA PUBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,2 GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIAL, SUMINISTROS Y OTROS","22 MATERIAL, SUMINISTROS Y OTROS",220,MATERIAL DE OFICINA,220 MATERIAL DE OFICINA,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES","22001 PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",3,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE,33,CULTURA,33 CULTURA,331,CULTURA,331 CULTURA,3312,"MUSEOS, ARCHIVOS Y BIBLIOTECAS","3312 MUSEOS, ARCHIVOS Y BIBLIOTECAS",,,,16500
080203.3312.22002,080203,3312,22002,08,"EDUCACION, CULTURA, DEPORTE Y JUVENTUD","08 EDUCACION, CULTURA, DEPORTE Y JUVENTUD",0802,DIRECCIÓN GENERAL DE CULTURA,0802 DIRECCION GENERAL DE CULTURA,080203,BIBLIOTECA PÚBLICA,080203 BIBLIOTECA PUBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,2 GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIAL, SUMINISTROS Y OTROS","22 MATERIAL, SUMINISTROS Y OTROS",220,MATERIAL DE OFICINA,220 MATERIAL DE OFICINA,22002,MATERIAL INFORMATICO NO INVENTARIABLE,22002 MATERIAL INFORMATICO NO INVENTARIABLE,3,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE,33,CULTURA,33 CULTURA,331,CULTURA,331 CULTURA,3312,"MUSEOS, ARCHIVOS Y BIBLIOTECAS","3312 MUSEOS, ARCHIVOS Y BIBLIOTECAS",,,,5500
080203.3312.22100,080203,3312,22100,08,"EDUCACION, CULTURA, DEPORTE Y JUVENTUD","08 EDUCACION, CULTURA, DEPORTE Y JUVENTUD",0802,DIRECCIÓN GENERAL DE CULTURA,0802 DIRECCION GENERAL DE CULTURA,080203,BIBLIOTECA PÚBLICA,080203 BIBLIOTECA PUBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,2 GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIAL, SUMINISTROS Y OTROS","22 MATERIAL, SUMINISTROS Y OTROS",221,SUMINISTROS,221 SUMINISTROS,22100,ENERGIA ELECTRICA,22100 ENERGIA ELECTRICA,3,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE,33,CULTURA,33 CULTURA,331,CULTURA,331 CULTURA,3312,"MUSEOS, ARCHIVOS Y BIBLIOTECAS","3312 MUSEOS, ARCHIVOS Y BIBLIOTECAS",,,,35764
080203.3312.22101,080203,3312,22101,08,"EDUCACION, CULTURA, DEPORTE Y JUVENTUD","08 EDUCACION, CULTURA, DEPORTE Y JUVENTUD",0802,DIRECCIÓN GENERAL DE CULTURA,0802 DIRECCION GENERAL DE CULTURA,080203,BIBLIOTECA PÚBLICA,080203 BIBLIOTECA PUBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,2 GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIAL, SUMINISTROS Y OTROS","22 MATERIAL, SUMINISTROS Y OTROS",221,SUMINISTROS,221 SUMINISTROS,22101,AGUA,22101 AGUA,3,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE,33,CULTURA,33 CULTURA,331,CULTURA,331 CULTURA,3312,"MUSEOS, ARCHIVOS Y BIBLIOTECAS","3312 MUSEOS, ARCHIVOS Y BIBLIOTECAS",,,,2500
080203.3312.22103,080203,3312,22103,08,"EDUCACION, CULTURA, DEPORTE Y JUVENTUD","08 EDUCACION, CULTURA, DEPORTE Y JUVENTUD",0802,DIRECCIÓN GENERAL DE CULTURA,0802 DIRECCION GENERAL DE CULTURA,080203,BIBLIOTECA PÚBLICA,080203 BIBLIOTECA PUBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,2 GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIAL, SUMINISTROS Y OTROS","22 MATERIAL, SUMINISTROS Y OTROS",221,SUMINISTROS,221 SUMINISTROS,22103,COMBUSTIBLES Y CARBURANTES,22103 COMBUSTIBLES Y CARBURANTES,3,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE,33,CULTURA,33 CULTURA,331,CULTURA,331 CULTURA,3312,"MUSEOS, ARCHIVOS Y BIBLIOTECAS","3312 MUSEOS, ARCHIVOS Y BIBLIOTECAS",,,,19000
080203.3312.22104,080203,3312,22104,08,"EDUCACION, CULTURA, DEPORTE Y JUVENTUD","08 EDUCACION, CULTURA, DEPORTE Y JUVENTUD",0802,DIRECCIÓN GENERAL DE CULTURA,0802 DIRECCION GENERAL DE CULTURA,080203,BIBLIOTECA PÚBLICA,080203 BIBLIOTECA PUBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,2 GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIAL, SUMINISTROS Y OTROS","22 MATERIAL, SUMINISTROS Y OTROS",221,SUMINISTROS,221 SUMINISTROS,22104,VESTUARIO,22104 VESTUARIO,3,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE,33,CULTURA,33 CULTURA,331,CULTURA,331 CULTURA,3312,"MUSEOS, ARCHIVOS Y BIBLIOTECAS","3312 MUSEOS, ARCHIVOS Y BIBLIOTECAS",,,,4000
080203.3312.22106,080203,3312,22106,08,"EDUCACION, CULTURA, DEPORTE Y JUVENTUD","08 EDUCACION, CULTURA, DEPORTE Y JUVENTUD",0802,DIRECCIÓN GENERAL DE CULTURA,0802 DIRECCION GENERAL DE CULTURA,080203,BIBLIOTECA PÚBLICA,080203 BIBLIOTECA PUBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,2 GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIAL, SUMINISTROS Y OTROS","22 MATERIAL, SUMINISTROS Y OTROS",221,SUMINISTROS,221 SUMINISTROS,22106,PRODUCTOS FARMACEUTICOS,22106 PRODUCTOS FARMACEUTICOS,3,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE,33,CULTURA,33 CULTURA,331,CULTURA,331 CULTURA,3312,"MUSEOS, ARCHIVOS Y BIBLIOTECAS","3312 MUSEOS, ARCHIVOS Y BIBLIOTECAS",,,,150
080203.3312.22107,080203,3312,22107,08,"EDUCACION, CULTURA, DEPORTE Y JUVENTUD","08 EDUCACION, CULTURA, DEPORTE Y JUVENTUD",0802,DIRECCIÓN GENERAL DE CULTURA,0802 DIRECCION GENERAL DE CULTURA,080203,BIBLIOTECA PÚBLICA,080203 BIBLIOTECA PUBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,2 GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIAL, SUMINISTROS Y OTROS","22 MATERIAL, SUMINISTROS Y OTROS",221,SUMINISTROS,221 SUMINISTROS,22107,MATERIALES ESPECIALES,22107 MATERIALES ESPECIALES,3,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE,33,CULTURA,33 CULTURA,331,CULTURA,331 CULTURA,3312,"MUSEOS, ARCHIVOS Y BIBLIOTECAS","3312 MUSEOS, ARCHIVOS Y BIBLIOTECAS",,,,5500
080203.3312.22123,080203,3312,22123,08,"EDUCACION, CULTURA, DEPORTE Y JUVENTUD","08 EDUCACION, CULTURA, DEPORTE Y JUVENTUD",0802,DIRECCIÓN GENERAL DE CULTURA,0802 DIRECCION GENERAL DE CULTURA,080203,BIBLIOTECA PÚBLICA,080203 BIBLIOTECA PUBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,2 GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIAL, SUMINISTROS Y OTROS","22 MATERIAL, SUMINISTROS Y OTROS",221,SUMINISTROS,221 SUMINISTROS,22123,CALZADO,22123 CALZADO,3,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE,33,CULTURA,33 CULTURA,331,CULTURA,331 CULTURA,3312,"MUSEOS, ARCHIVOS Y BIBLIOTECAS","3312 MUSEOS, ARCHIVOS Y BIBLIOTECAS",,,,1000
080203.3312.22199,080203,3312,22199,08,"EDUCACION, CULTURA, DEPORTE Y JUVENTUD","08 EDUCACION, CULTURA, DEPORTE Y JUVENTUD",0802,DIRECCIÓN GENERAL DE CULTURA,0802 DIRECCION GENERAL DE CULTURA,080203,BIBLIOTECA PÚBLICA,080203 BIBLIOTECA PUBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,2 GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIAL, SUMINISTROS Y OTROS","22 MATERIAL, SUMINISTROS Y OTROS",221,SUMINISTROS,221 SUMINISTROS,22199,OTROS SUMINISTROS,22199 OTROS SUMINISTROS,3,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE,33,CULTURA,33 CULTURA,331,CULTURA,331 CULTURA,3312,"MUSEOS, ARCHIVOS Y BIBLIOTECAS","3312 MUSEOS, ARCHIVOS Y BIBLIOTECAS",,,,5000
080203.3312.22201,080203,3312,22201,08,"EDUCACION, CULTURA, DEPORTE Y JUVENTUD","08 EDUCACION, CULTURA, DEPORTE Y JUVENTUD",0802,DIRECCIÓN GENERAL DE CULTURA,0802 DIRECCION GENERAL DE CULTURA,080203,BIBLIOTECA PÚBLICA,080203 BIBLIOTECA PUBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,2 GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIAL, SUMINISTROS Y OTROS","22 MATERIAL, SUMINISTROS Y OTROS",222,COMUNICACIONES,222 COMUNICACIONES,22201,POSTALES,22201 POSTALES,3,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE,33,CULTURA,33 CULTURA,331,CULTURA,331 CULTURA,3312,"MUSEOS, ARCHIVOS Y BIBLIOTECAS","3312 MUSEOS, ARCHIVOS Y BIBLIOTECAS",,,,5268
080203.3312.22300,080203,3312,22300,08,"EDUCACION, CULTURA, DEPORTE Y JUVENTUD","08 EDUCACION, CULTURA, DEPORTE Y JUVENTUD",0802,DIRECCIÓN GENERAL DE CULTURA,0802 DIRECCION GENERAL DE CULTURA,080203,BIBLIOTECA PÚBLICA,080203 BIBLIOTECA PUBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,2 GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIAL, SUMINISTROS Y OTROS","22 MATERIAL, SUMINISTROS Y OTROS",223,TRANSPORTES,223 TRANSPORTES,22300,TRANSPORTES,22300 TRANSPORTES,3,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE,33,CULTURA,33 CULTURA,331,CULTURA,331 CULTURA,3312,"MUSEOS, ARCHIVOS Y BIBLIOTECAS","3312 MUSEOS, ARCHIVOS Y BIBLIOTECAS",,,,1000
080203.3312.22499,080203,3312,22499,08,"EDUCACION, CULTURA, DEPORTE Y JUVENTUD","08 EDUCACION, CULTURA, DEPORTE Y JUVENTUD",0802,DIRECCIÓN GENERAL DE CULTURA,0802 DIRECCION GENERAL DE CULTURA,080203,BIBLIOTECA PÚBLICA,080203 BIBLIOTECA PUBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,2 GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIAL, SUMINISTROS Y OTROS","22 MATERIAL, SUMINISTROS Y OTROS",224,PRIMAS DE SEGUROS,224 PRIMAS DE SEGUROS,22499,OTROS RIESGOS,22499 OTROS RIESGOS,3,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE,33,CULTURA,33 CULTURA,331,CULTURA,331 CULTURA,3312,"MUSEOS, ARCHIVOS Y BIBLIOTECAS","3312 MUSEOS, ARCHIVOS Y BIBLIOTECAS",,,,1500
080203.3312.22500,080203,3312,22500,08,"EDUCACION, CULTURA, DEPORTE Y JUVENTUD","08 EDUCACION, CULTURA, DEPORTE Y JUVENTUD",0802,DIRECCIÓN GENERAL DE CULTURA,0802 DIRECCION GENERAL DE CULTURA,080203,BIBLIOTECA PÚBLICA,080203 BIBLIOTECA PUBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,2 GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIAL, SUMINISTROS Y OTROS","22 MATERIAL, SUMINISTROS Y OTROS",225,TRIBUTOS,225 TRIBUTOS,22500,LOCALES,22500 LOCALES,3,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE,33,CULTURA,33 CULTURA,331,CULTURA,331 CULTURA,3312,"MUSEOS, ARCHIVOS Y BIBLIOTECAS","3312 MUSEOS, ARCHIVOS Y BIBLIOTECAS",,,,1500
080203.3312.22501,080203,3312,22501,08,"EDUCACION, CULTURA, DEPORTE Y JUVENTUD","08 EDUCACION, CULTURA, DEPORTE Y JUVENTUD",0802,DIRECCIÓN GENERAL DE CULTURA,0802 DIRECCION GENERAL DE CULTURA,080203,BIBLIOTECA PÚBLICA,080203 BIBLIOTECA PUBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,2 GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIAL, SUMINISTROS Y OTROS","22 MATERIAL, SUMINISTROS Y OTROS",225,TRIBUTOS,225 TRIBUTOS,22501,AUTONOMICAS,22501 AUTONOMICAS,3,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE,33,CULTURA,33 CULTURA,331,CULTURA,331 CULTURA,3312,"MUSEOS, ARCHIVOS Y BIBLIOTECAS","3312 MUSEOS, ARCHIVOS Y BIBLIOTECAS",,,,1500
080203.3312.22602,080203,3312,22602,08,"EDUCACION, CULTURA, DEPORTE Y JUVENTUD","08 EDUCACION, CULTURA, DEPORTE Y JUVENTUD",0802,DIRECCIÓN GENERAL DE CULTURA,0802 DIRECCION GENERAL DE CULTURA,080203,BIBLIOTECA PÚBLICA,080203 BIBLIOTECA PUBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,2 GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIAL, SUMINISTROS Y OTROS","22 MATERIAL, SUMINISTROS Y OTROS",226,GASTOS DIVERSOS,226 GASTOS DIVERSOS,22602,PUBLICIDAD Y PROPAGANDA,22602 PUBLICIDAD Y PROPAGANDA,3,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE,33,CULTURA,33 CULTURA,331,CULTURA,331 CULTURA,3312,"MUSEOS, ARCHIVOS Y BIBLIOTECAS","3312 MUSEOS, ARCHIVOS Y BIBLIOTECAS",,,,5000
080203.3312.22606,080203,3312,22606,08,"EDUCACION, CULTURA, DEPORTE Y JUVENTUD","08 EDUCACION, CULTURA, DEPORTE Y JUVENTUD",0802,DIRECCIÓN GENERAL DE CULTURA,0802 DIRECCION GENERAL DE CULTURA,080203,BIBLIOTECA PÚBLICA,080203 BIBLIOTECA PUBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,2 GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIAL, SUMINISTROS Y OTROS","22 MATERIAL, SUMINISTROS Y OTROS",226,GASTOS DIVERSOS,226 GASTOS DIVERSOS,22606,"REUNIONES, CONFERENCIAS Y CURSOS","22606 REUNIONES, CONFERENCIAS Y CURSOS",3,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE,33,CULTURA,33 CULTURA,331,CULTURA,331 CULTURA,3312,"MUSEOS, ARCHIVOS Y BIBLIOTECAS","3312 MUSEOS, ARCHIVOS Y BIBLIOTECAS",,,,2500
080203.3312.22699,080203,3312,22699,08,"EDUCACION, CULTURA, DEPORTE Y JUVENTUD","08 EDUCACION, CULTURA, DEPORTE Y JUVENTUD",0802,DIRECCIÓN GENERAL DE CULTURA,0802 DIRECCION GENERAL DE CULTURA,080203,BIBLIOTECA PÚBLICA,080203 BIBLIOTECA PUBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,2 GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIAL, SUMINISTROS Y OTROS","22 MATERIAL, SUMINISTROS Y OTROS",226,GASTOS DIVERSOS,226 GASTOS DIVERSOS,22699,OTROS,22699 OTROS,3,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE,33,CULTURA,33 CULTURA,331,CULTURA,331 CULTURA,3312,"MUSEOS, ARCHIVOS Y BIBLIOTECAS","3312 MUSEOS, ARCHIVOS Y BIBLIOTECAS",,,,500
080203.3312.22700,080203,3312,22700,08,"EDUCACION, CULTURA, DEPORTE Y JUVENTUD","08 EDUCACION, CULTURA, DEPORTE Y JUVENTUD",0802,DIRECCIÓN GENERAL DE CULTURA,0802 DIRECCION GENERAL DE CULTURA,080203,BIBLIOTECA PÚBLICA,080203 BIBLIOTECA PUBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,2 GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIAL, SUMINISTROS Y OTROS","22 MATERIAL, SUMINISTROS Y OTROS",227,TRABAJOS REALIZADOS POR OTRAS EMPRESAS,227 TRABAJOS REALIZADOS POR OTRAS EMPRESAS,22700,LIMPIEZA Y ASEO,22700 LIMPIEZA Y ASEO,3,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE,33,CULTURA,33 CULTURA,331,CULTURA,331 CULTURA,3312,"MUSEOS, ARCHIVOS Y BIBLIOTECAS","3312 MUSEOS, ARCHIVOS Y BIBLIOTECAS",,,,75927
080203.3312.22701,080203,3312,22701,08,"EDUCACION, CULTURA, DEPORTE Y JUVENTUD","08 EDUCACION, CULTURA, DEPORTE Y JUVENTUD",0802,DIRECCIÓN GENERAL DE CULTURA,0802 DIRECCION GENERAL DE CULTURA,080203,BIBLIOTECA PÚBLICA,080203 BIBLIOTECA PUBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,2 GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIAL, SUMINISTROS Y OTROS","22 MATERIAL, SUMINISTROS Y OTROS",227,TRABAJOS REALIZADOS POR OTRAS EMPRESAS,227 TRABAJOS REALIZADOS POR OTRAS EMPRESAS,22701,SEGURIDAD,22701 SEGURIDAD,3,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE,33,CULTURA,33 CULTURA,331,CULTURA,331 CULTURA,3312,"MUSEOS, ARCHIVOS Y BIBLIOTECAS","3312 MUSEOS, ARCHIVOS Y BIBLIOTECAS",,,,53975
